Wave	Flux
3600.668779	68.29859588
3601.443154	94.01020688
3602.217529	81.69527427
3602.991904	83.77035146
3603.766279	34.76956693
3604.540655	33.48275183
3605.31503	50.51374155
3606.089405	81.62289001
3606.86378	54.3908231
3607.638156	49.51205626
3608.412531	36.97871885
3609.186906	73.28605822
3609.961281	28.07794577
3610.735656	40.39411187
3611.510032	45.40775812
3612.284407	28.53387713
3613.058782	7.1466916
3613.833157	55.13814439
3614.607533	72.84525169
3615.381908	44.65422173
3616.156283	52.65776193
3616.930658	82.47719685
3617.705033	33.16293601
3618.479409	51.56482473
3619.253784	82.55068225
3620.028159	58.15227408
3620.802534	34.54468233
3621.57691	75.70466551
3622.351285	42.88657514
3623.12566	39.72613639
3623.900035	76.24971533
3624.67441	0
3625.448786	23.10549179
3626.223161	63.03056975
3626.997536	52.11343209
3627.771911	44.45485664
3628.546287	52.44520431
3629.320662	46.32403072
3630.095037	10.31293914
3630.869412	28.16707746
3631.643787	12.95711329
3632.418163	20.52468696
3633.192538	47.81006002
3633.966913	53.94178447
3634.741288	20.78154043
3635.515663	52.5088006
3636.290039	49.67621654
3637.064414	3.12263626
3637.838789	60.01788532
3638.613164	23.36845317
3639.38754	0
3640.161915	12.49068533
3640.93629	40.63966937
3641.710665	49.34824009
3642.48504	24.05088379
3643.259416	0
3644.033791	33.71153014
3644.808166	41.5281037
3645.582541	43.08763958
3646.356917	59.73158289
3647.131292	71.98280274
3647.905667	18.22533926
3648.680042	0
3649.454417	0
3650.228793	39.08210019
3651.003168	57.48813672
3651.777543	29.64210328
3652.551918	7.900757387
3653.326294	21.99340106
3654.100669	68.23309376
3654.875044	48.9532898
3655.649419	50.6782777
3656.423794	43.69560807
3657.19817	30.33674441
3657.972545	57.57250649
3658.74692	73.21247753
3659.521295	61.01346667
3660.295671	57.63410696
3661.070046	43.60912336
3661.844421	55.20221714
3662.618796	59.40592519
3663.393171	28.88735192
3664.167547	41.41084522
3664.941922	68.3640927
3665.716297	28.76045845
3666.490672	29.46409136
3667.265048	66.03936842
3668.039423	74.79969021
3668.813798	50.52640469
3669.588173	48.88191669
3670.362548	43.25653531
3671.136924	41.48160953
3671.911299	52.8605575
3672.685674	69.58808178
3673.460049	64.68647152
3674.234424	32.59562776
3675.0088	54.33206019
3675.783175	29.04732733
3676.55755	46.7681195
3677.331925	40.33574336
3678.106301	29.46687598
3678.880676	40.83548486
3679.655051	53.66149068
3680.429426	20.8382387
3681.203801	59.25933026
3681.978177	34.88050707
3682.752552	56.83769482
3683.526927	37.11887898
3684.301302	28.6310424
3685.075678	36.04593441
3685.850053	63.26801956
3686.624428	22.46701688
3687.398803	36.23331398
3688.173178	71.57801628
3688.947554	22.18878906
3689.721929	27.92540043
3690.496304	49.43098992
3691.270679	30.89992073
3692.045055	55.50432732
3692.81943	27.74091136
3693.593805	27.57668755
3694.36818	36.34163891
3695.142555	44.46221524
3695.916931	47.70796608
3696.691306	52.40149741
3697.465681	30.82840204
3698.240056	30.40005218
3699.014432	15.75832271
3699.788807	44.92429289
3700.563182	6.458161016
3701.337557	72.66094261
3702.111932	66.35037245
3702.886308	48.68797791
3703.660683	90.06200631
3704.435058	46.51278142
3705.209433	12.8760337
3705.983809	66.86077863
3706.758184	28.8413845
3707.532559	45.26060203
3708.306934	75.1886901
3709.081309	53.75633719
3709.855685	24.42964781
3710.63006	69.93057426
3711.404435	57.85295381
3712.17881	51.99720329
3712.953185	31.44239504
3713.727561	52.03878202
3714.501936	44.06450151
3715.276311	59.68487432
3716.050686	50.41116056
3716.825062	44.26159019
3717.599437	46.62659088
3718.373812	21.54084856
3719.148187	47.78624781
3719.922562	47.50566285
3720.696938	58.40752216
3721.471313	34.14617186
3722.245688	21.13967655
3723.020063	0
3723.794439	13.45388223
3724.568814	36.23420601
3725.343189	40.36970673
3726.117564	37.75942912
3726.891939	33.03399642
3727.666315	35.66219672
3728.44069	11.99913755
3729.215065	45.5751583
3729.98944	35.70250755
3730.763816	44.94268938
3731.538191	41.33186734
3732.312566	36.01704794
3733.086941	39.26865655
3733.861316	38.94344089
3734.635692	75.51508895
3735.410067	42.78088131
3736.184442	27.57107066
3736.958817	51.34841311
3737.733193	44.55723116
3738.507568	28.45428251
3739.281943	54.10569064
3740.056318	57.59337527
3740.830693	42.69600861
3741.605069	57.88752863
3742.379444	58.7937586
3743.153819	30.73129765
3743.928194	41.76774255
3744.70257	40.78808542
3745.476945	44.76088964
3746.25132	71.0453702
3747.025695	43.52318393
3747.80007	29.91821749
3748.574446	45.39544967
3749.348821	31.11544297
3750.123196	27.02344004
3750.897571	41.56226824
3751.671946	44.45847771
3752.446322	21.5723251
3753.220697	36.77601593
3753.995072	49.25157775
3754.769447	70.51442877
3755.543823	54.72528465
3756.318198	18.37927691
3757.092573	51.78338041
3757.866948	30.26687213
3758.641323	34.48834405
3759.415699	40.90965318
3760.190074	26.34485283
3760.964449	37.4595874
3761.738824	23.56089905
3762.5132	48.75891692
3763.287575	44.20919326
3764.06195	65.980092
3764.836325	31.0087327
3765.6107	27.06556405
3766.385076	32.97060924
3767.159451	22.24911236
3767.933826	23.02656685
3768.708201	50.05932955
